coach,team,year_w_team,season
Mike Fratello,MEM,2,2005-2006
Stan Van Gundy,MIA,3,2005-2006
Pat Riley,MIA,9,2005-2006
Terry Stotts,MIL,1,2005-2006
Dwane Casey,MIN,1,2005-2006
Lawrence Frank,NJN,3,2005-2006
Byron Scott,NOK,2,2005-2006
Larry Brown,NYK,1,2005-2006
Brian Hill,ORL,5,2005-2006
Maurice Cheeks,PHI,1,2005-2006
Mike D'Antoni,PHO,3,2005-2006
Nate McMillan,POR,1,2005-2006
Rick Adelman,SAC,8,2005-2006
Gregg Popovich,SAS,10,2005-2006
Bob Weiss,SEA,1,2005-2006
Bob Hill,SEA,1,2005-2006
Sam Mitchell,TOR,2,2005-2006
Jerry Sloan,UTA,18,2005-2006
Eddie Jordan,WAS,3,2005-2006
Mike Woodson,ATL,3,2006-2007
Doc Rivers,BOS,3,2006-2007
Bernie Bickerstaff,CHA,3,2006-2007
Scott Skiles,CHI,4,2006-2007
Mike Brown,CLE,2,2006-2007
Avery Johnson,DAL,3,2006-2007
George Karl,DEN,3,2006-2007
Flip Saunders,DET,2,2006-2007
Don Nelson,GSW,8,2006-2007
Jeff Van Gundy,HOU,4,2006-2007
Rick Carlisle,IND,4,2006-2007
Mike Dunleavy,LAC,4,2006-2007
Phil Jackson,LAL,7,2006-2007
Mike Fratello,MEM,3,2006-2007
Tony Barone,MEM,1,2006-2007
Pat Riley,MIA,10,2006-2007
Terry Stotts,MIL,2,2006-2007
Larry Krystkowiak,MIL,1,2006-2007
Dwane Casey,MIN,2,2006-2007
Randy Wittman,MIN,1,2006-2007
Lawrence Frank,NJN,4,2006-2007
Byron Scott,NOK,3,2006-2007
Isiah Thomas,NYK,1,2006-2007
Brian Hill,ORL,6,2006-2007
Maurice Cheeks,PHI,2,2006-2007
Mike D'Antoni,PHO,4,2006-2007
Nate McMillan,POR,2,2006-2007
Eric Musselman,SAC,1,2006-2007
Gregg Popovich,SAS,11,2006-2007
Bob Hill,SEA,2,2006-2007
Sam Mitchell,TOR,3,2006-2007
Jerry Sloan,UTA,19,2006-2007
Eddie Jordan,WAS,4,2006-2007
Mike Woodson,ATL,4,2007-2008
Doc Rivers,BOS,4,2007-2008
Sam Vincent,CHA,1,2007-2008
Scott Skiles,CHI,5,2007-2008
Pete Myers,CHI,2,2007-2008
Jim Boylan,CHI,1,2007-2008
Mike Brown,CLE,3,2007-2008
Avery Johnson,DAL,4,2007-2008
George Karl,DEN,4,2007-2008
Flip Saunders,DET,3,2007-2008
Don Nelson,GSW,9,2007-2008
Rick Adelman,HOU,1,2007-2008
Jim O'Brien,IND,1,2007-2008
Mike Dunleavy,LAC,5,2007-2008
Phil Jackson,LAL,8,2007-2008
Marc Iavaroni,MEM,1,2007-2008
Pat Riley,MIA,11,2007-2008
Larry Krystkowiak,MIL,2,2007-2008
Randy Wittman,MIN,2,2007-2008
Lawrence Frank,NJN,5,2007-2008
Byron Scott,NOH,4,2007-2008
Isiah Thomas,NYK,2,2007-2008
Stan Van Gundy,ORL,1,2007-2008
Maurice Cheeks,PHI,3,2007-2008
Mike D'Antoni,PHO,5,2007-2008
Nate McMillan,POR,3,2007-2008
Reggie Theus,SAC,1,2007-2008
Gregg Popovich,SAS,12,2007-2008
P.J. Carlesimo,SEA,1,2007-2008
Sam Mitchell,TOR,4,2007-2008
Jerry Sloan,UTA,20,2007-2008
Eddie Jordan,WAS,5,2007-2008
Mike Woodson,ATL,5,2008-2009
Doc Rivers,BOS,5,2008-2009
Larry Brown,CHA,1,2008-2009
Vinny Del Negro,CHI,1,2008-2009
Mike Brown,CLE,4,2008-2009
Rick Carlisle,DAL,1,2008-2009
George Karl,DEN,5,2008-2009
Michael Curry,DET,1,2008-2009
Don Nelson,GSW,10,2008-2009
Rick Adelman,HOU,2,2008-2009
Jim O'Brien,IND,2,2008-2009
Mike Dunleavy,LAC,6,2008-2009
Phil Jackson,LAL,9,2008-2009
Marc Iavaroni,MEM,2,2008-2009
